candidate_name,candidate_title,raw_score,title_affinity,skill_affinity,career_affinity,semantic_similarity,bm25_score,penalty,final_score
Fiona Johnson 5,backend engineer,23.91304347826087,1.25,1.0,0.0,0.0,0.0,0.0,23.91304347826087
Olivia Ross 31,machine learning engineer,23.91304347826087,1.25,1.0,0.0,0.0,0.0,0.0,23.91304347826087
Mia Davis 39,machine learning engineer,23.91304347826087,1.25,1.0,0.0,0.0,0.0,0.0,23.91304347826087
Kelly Davis 50,machine learning engineer,23.91304347826087,1.25,1.0,0.0,0.0,0.0,0.0,23.91304347826087
Liam Johnson 30,backend engineer,23.91304347826087,1.25,1.0,0.0,0.0,0.0,0.0,23.91304347826087
Fiona Wright 8,chief software engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Hannah Davis 14,machine learning engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Rachel Ross 4,chief software engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Kelly Smith 9,backend engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Jack Wright 34,backend engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Sam Ross 21,machine learning engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Noah Johnson 19,chief software engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Bob Ross 24,machine learning engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Bob Wright 25,machine learning engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Jack Johnson 12,machine learning engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Kelly Ross 22,chief software engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Liam Davis 28,machine learning engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Olivia Ross 2,backend engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
George Ross 40,backend engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Hannah Johnson 49,chief software engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
Charlie Smith 23,backend engineer,19.565217391304348,1.25,0.5,0.0,0.0,0.0,0.0,19.565217391304348
George Smith 35,chief software engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Paul Smith 46,backend engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Sam Davis 43,backend engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Evan Ross 32,chief software engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Tina Davis 27,backend engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Jack Ross 44,backend engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Ian Ross 16,backend engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Ian Wright 10,chief software engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Charlie Smith 38,chief software engineer,15.217391304347828,1.25,0.0,0.0,0.0,0.0,0.0,15.217391304347828
Sam Wright 26,frontend developer,13.043478260869565,0.0,1.0,0.0,0.0,0.0,0.0,13.043478260869565
Bob Davis 17,frontend developer,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Bob Ross 18,chief data scientist,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Quinn Ross 3,frontend developer,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Rachel Smith 48,frontend developer,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Evan Smith 42,frontend developer,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Noah Smith 37,chief data scientist,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Ian Johnson 41,frontend developer,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
George Davis 45,chief data scientist,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Fiona Davis 15,frontend developer,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
George Smith 20,chief data scientist,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Charlie Davis 29,chief data scientist,8.695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,8.695652173913043
Charlie Ross 11,chief data scientist,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
Bob Johnson 13,chief data scientist,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
Alice Ross 6,frontend developer,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
Charlie Ross 7,chief data scientist,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
Alice Wright 1,chief data scientist,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
Bob Smith 33,chief data scientist,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
Quinn Davis 36,chief data scientist,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
Fiona Wright 47,chief data scientist,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215
